"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","TF"
"Spi1",7.01804037186448,11.1981704057549,2.19049769081066,0.049523705427746,0.998876309054655,-4.59101839231317,"106"
"Elf5",4.6911944036515,8.46802517561058,1.8337091390417,0.0922526419583612,0.998876309054655,-4.59232651646972,"109"
"Erg",5.87431665855837,10.8058167457526,1.7846087253307,0.100262091181932,0.998876309054655,-4.59250590954815,"113"
"Ikzf3",6.41272896537068,12.5171709290761,1.74316851683487,0.107504212662407,0.998876309054655,-4.59265676733433,"93"
"Irf1",2.36775106149887,3.05635628895279,1.56569688010843,0.14406104211205,0.998876309054655,-4.59329411494482,"104"
"Sox11",2.57471826352867,6.32650778514262,1.27867789596046,0.225800728582347,0.998876309054655,-4.59427335083525,"132"
"Mafg",2.25011952810261,4.59176661580256,1.21549371013269,0.248144003697373,0.998876309054655,-4.59447633531847,"125"
"Stat2",1.8631917057369,4.36661765192448,1.19719900741523,0.254931207692395,0.998876309054655,-4.59453406097523,"80"
"Runx1",2.26916372483782,5.21543573934274,1.17485673916969,0.263417208502372,0.998876309054655,-4.59460388479016,"9"
"Pparg::Rxra",2.60285533192777,7.71661922211174,1.05828906805487,0.311291885121583,0.998876309054655,-4.59495522011603,"10"
"Zic3",4.36145992883683,14.5917184879567,1.03121727330877,0.323292741279762,0.998876309054655,-4.59503345974643,"129"
"Bach1::Mafk",2.12251169347611,5.25275899511975,1.00808794298451,0.333813597180586,0.998876309054655,-4.59509923098573,"23"
"Stat5a::Stat5b",1.83883639494311,4.65586398984658,0.999914524822282,0.337590665210914,0.998876309054655,-4.59512223084591,"20"
"Prdm5",2.48923319959874,7.37508465376153,0.992930825376125,0.340842499989683,0.998876309054655,-4.59514178109714,"100"
"Zic1::Zic2",4.02886393911081,13.8326366516183,0.980219491028657,0.346819459848474,0.998876309054655,-4.59517712209243,"84"
"Stat5b",1.65735230980682,4.4409274074298,0.929027062623209,0.371652367005031,0.998876309054655,-4.59531618644818,"82"
"Nr1H2",1.35161020762059,3.30838383027586,0.878588578522922,0.397315385278247,0.998876309054655,-4.59544787198577,"97"
"Ebf2",2.30528653030025,7.74844508858357,0.859872470708534,0.407139718936712,0.998876309054655,-4.59549533371462,"70"
"Zic2",3.29733813477757,12.6946943449797,0.849398307338161,0.412708801553822,0.998876309054655,-4.59552155484003,"85"
"Sox6",1.58213201276741,5.51425585227723,0.839642837697227,0.417941529365427,0.998876309054655,-4.5955457545521,"18"
"Stat5a",1.52688691842139,4.63429134237878,0.813273942239815,0.432305787590382,0.998876309054655,-4.59561007773015,"81"
"Arntl",1.77535444524809,5.79213823773307,0.79893019780681,0.440253946638494,0.998876309054655,-4.59564438975778,"26"
"Stat4",1.71391102006591,5.92298030428903,0.797771458570179,0.440900149893951,0.998876309054655,-4.59564714050497,"19"
"Arid3a",1.06897775978085,3.16702988700687,0.795242430575355,0.442312669448063,0.998876309054655,-4.59565313318572,"11"
