"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","TF"
"Nfat5",0.63027662272892,2.69302454969739,0.492628030179274,0.630722331643693,0.997170952052077,-4.59635574273864,"Nfat5"
"Zic1::Zic2",2.02113818210525,13.8326366516183,0.492437065845197,0.630853552925599,0.997170952052077,-4.59635606707598,"Zic1::Zic2"
"Zic3",2.03184264083485,14.5917184879567,0.479083830962379,0.64006143323419,0.997170952052077,-4.59637845746315,"Zic3"
"Irf1",0.739655383750051,3.05635628895279,0.468867100476839,0.647148867208176,0.997170952052077,-4.59639520242229,"Irf1"
"Ebf2",1.23874355972636,7.74844508858357,0.468187133515713,0.647621853838258,0.997170952052077,-4.59639630494302,"Ebf2"
"Foxl2",0.5684172177092,2.14098948121829,0.462303106644655,0.651721450891812,0.997170952052077,-4.59640578316426,"Foxl2"
"Plagl1",2.01082374213931,13.8519497524719,0.455360498747345,0.656573828805247,0.997170952052077,-4.59641682258171,"Plagl1"
"Zfx",2.47855650631725,17.5310151234688,0.450092235614219,0.660266858330707,0.997170952052077,-4.59642509531955,"Zfx"
"Foxf1",0.637463471092027,2.9378162119391,0.445130180422308,0.663753755104118,0.997170952052077,-4.59643280470215,"Foxf1"
"Arid3a",0.577547661892437,3.16702988700687,0.444101920562323,0.664477352885169,0.997170952052077,-4.59643439224688,"Arid3a"
"Nr2e1",-0.679136944920658,2.46695251466388,-0.432840127485602,0.672425251518915,0.997170952052077,-4.59645155357907,"Nr2e1"
"Lhx1",-0.628072935976907,2.43243580394571,-0.426080209314921,0.677215886983098,0.997170952052077,-4.59646165533623,"Lhx1"
"Arntl",0.923866545430774,5.79213823773307,0.424003743776633,0.678690401683495,0.997170952052077,-4.59646472821316,"Arntl"
"Stat2",0.662748558123891,4.36661765192448,0.423870194213362,0.678785283645172,0.997170952052077,-4.59646492536276,"Stat2"
"Npas4",0.703565967157228,4.1358879555256,0.419888547772205,0.68161671319286,0.997170952052077,-4.59647077623493,"Npas4"
"Alx4",-0.570412227131629,2.59616096038952,-0.415709030944399,0.684594276274093,0.997170952052077,-4.59647686171308,"Alx4"
"Tcf21",0.769886045414963,4.04461225196013,0.414853733846952,0.685204286229487,0.997170952052077,-4.59647809994823,"Tcf21"
"Lhx8",-0.532585957217402,2.00617383500777,-0.413278479972598,0.686328382378758,0.997170952052077,-4.59648037416628,"Lhx8"
"Foxo3",0.677406913588793,3.81413397722982,0.406377976901114,0.691261713848061,0.997170952052077,-4.5964902399167,"Foxo3"
"Rfx6",0.96520885078093,6.77251607188229,0.401728694172379,0.694593928819689,0.997170952052077,-4.59649679821079,"Rfx6"
"Foxj3",0.491184503539618,2.42935495914553,0.399293289243824,0.69634207553421,0.997170952052077,-4.59650020499937,"Foxj3"
"Ahr::Arnt",1.8027578944961,13.1933247546439,0.398052104002524,0.697233702784644,0.997170952052077,-4.59650193367008,"Ahr::Arnt"
"Prdm15",0.982228730708037,7.0506163643978,0.393719700905125,0.700349633450528,0.997170952052077,-4.59650792754717,"Prdm15"
"Nr2F6",-0.693089580746327,3.66824746283722,-0.389295522370464,0.703537422702032,0.997170952052077,-4.59651398395963,"Nr2F6"
"Nkx2-1",-0.757378221364822,3.5197922809779,-0.388694346994426,0.703971045915389,0.997170952052077,-4.59651480189877,"Nkx2-1"
"Nkx3-2",-0.534421921752532,1.92346131210649,-0.384741462037098,0.70682491669097,0.997170952052077,-4.59652015005179,"Nkx3-2"
"Bach1::Mafk",0.804125169320688,5.25275899511975,0.383899793962092,0.707433176770968,0.997170952052077,-4.59652128207547,"Bach1::Mafk"
"Bhlha15",0.847305395673894,5.52715089127932,0.383212327733613,0.707930153231683,0.997170952052077,-4.59652220494647,"Bhlha15"
"Sox11",0.770995555029719,6.32650778514262,0.37597478350608,0.713170685377632,0.997170952052077,-4.596531824947,"Sox11"
"Nobox",-0.479152571300803,2.27479022881987,-0.375279016119515,0.713675280672549,0.997170952052077,-4.5965327405135,"Nobox"
"Stat4",0.786167254447603,5.92298030428903,0.373424401827879,0.715020999477128,0.997170952052077,-4.59653517309503,"Stat4"
"Pparg::Rxra",0.915633419780948,7.71661922211174,0.371874599178283,0.716146308605633,0.997170952052077,-4.59653719703315,"Pparg::Rxra"
"Tcf12",0.810226492209795,5.50596959847514,0.367769157225452,0.719130603765834,0.997170952052077,-4.59654251952558,"Tcf12"
"Hoxa13",-0.556865655753128,2.15899751877352,-0.36288105595654,0.722690098733844,0.997170952052077,-4.59654878287363,"Hoxa13"
"Foxo1",0.610105110411051,4.00895949686611,0.356120115704223,0.727624495083357,0.997170952052077,-4.59655731347886,"Foxo1"
"Zic2",1.3601142104088,12.6946943449797,0.354335062023423,0.728929425611042,0.997170952052077,-4.59655954006377,"Zic2"
